"","year","Scenario","sectors","value"
"55",2017,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",0
"56",2018,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",0
"57",2019,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",0
"58",2020,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",0.087774
"59",2021,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",0.275734
"60",2022,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",0.54623
"61",2023,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",0.872722
"62",2024,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",1.22988
"63",2025,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",1.597699
"64",2026,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",1.962293
"65",2027,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",2.315065
"66",2028,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",2.65134
"67",2029,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",2.969039
"68",2030,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",3.267627
"69",2031,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",3.547393
"70",2032,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",3.809005
"71",2033,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",4.053265
"72",2034,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",4.280993
"73",2035,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",4.492994
"74",2036,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",4.690058
"75",2037,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",4.872975
"76",2038,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",5.042552
"77",2039,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",5.199623
"78",2040,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",5.34505
"79",2015,"ClimatePol","Coking and refining",0
"80",2016,"ClimatePol","Coking and refining",0
"81",2017,"ClimatePol","Coking and refining",0
"82",2018,"ClimatePol","Coking and refining",0
"83",2019,"ClimatePol","Coking and refining",0
"84",2020,"ClimatePol","Coking and refining",-0.52596
"85",2021,"ClimatePol","Coking and refining",-1.606599
"86",2022,"ClimatePol","Coking and refining",-3.083685
"87",2023,"ClimatePol","Coking and refining",-4.778359
"88",2024,"ClimatePol","Coking and refining",-6.551818
"89",2025,"ClimatePol","Coking and refining",-8.31471
"90",2026,"ClimatePol","Coking and refining",-10.01781
"91",2027,"ClimatePol","Coking and refining",-11.63914
"92",2028,"ClimatePol","Coking and refining",-13.17311
"93",2029,"ClimatePol","Coking and refining",-14.62286
"94",2030,"ClimatePol","Coking and refining",-15.9954
"95",2031,"ClimatePol","Coking and refining",-17.29882
"96",2032,"ClimatePol","Coking and refining",-18.54083
"97",2033,"ClimatePol","Coking and refining",-19.72815
"98",2034,"ClimatePol","Coking and refining",-20.86629
"99",2035,"ClimatePol","Coking and refining",-21.9596
"100",2036,"ClimatePol","Coking and refining",-23.01149
"101",2037,"ClimatePol","Coking and refining",-24.02454
"102",2038,"ClimatePol","Coking and refining",-25.00072
"103",2039,"ClimatePol","Coking and refining",-25.94156
"104",2040,"ClimatePol","Coking and refining",-26.84828
"105",2015,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0
"106",2016,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0
"107",2017,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0
"108",2018,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0
"109",2019,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0
"110",2020,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.026998
"111",2021,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.073791
"112",2022,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.124962
"113",2023,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.16567
"114",2024,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.184095
"115",2025,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.171849
"116",2026,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.123744
"117",2027,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.037329
"118",2028,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-0.087665
"119",2029,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-0.249892
"120",2030,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-0.446893
"121",2031,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-0.67552
"122",2032,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-0.932259
"123",2033,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-1.213453
"124",2034,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-1.515466
"125",2035,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-1.834773
"126",2036,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-2.168026
"127",2037,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-2.512083
"128",2038,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-2.864031
"129",2039,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-3.221193
"130",2040,"ClimatePol","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-3.581138
"131",2015,"ClimatePol","Transport equipment manufacturing",0
"132",2016,"ClimatePol","Transport equipment manufacturing",0
"133",2017,"ClimatePol","Transport equipment manufacturing",0
"134",2018,"ClimatePol","Transport equipment manufacturing",0
"135",2019,"ClimatePol","Transport equipment manufacturing",0
"136",2020,"ClimatePol","Transport equipment manufacturing",0.041232
"137",2021,"ClimatePol","Transport equipment manufacturing",0.120837
"138",2022,"ClimatePol","Transport equipment manufacturing",0.223194
"139",2023,"ClimatePol","Transport equipment manufacturing",0.330978
"140",2024,"ClimatePol","Transport equipment manufacturing",0.428962
"141",2025,"ClimatePol","Transport equipment manufacturing",0.505213
"142",2026,"ClimatePol","Transport equipment manufacturing",0.551242
"143",2027,"ClimatePol","Transport equipment manufacturing",0.561698
"144",2028,"ClimatePol","Transport equipment manufacturing",0.533845
"145",2029,"ClimatePol","Transport equipment manufacturing",0.466984
"146",2030,"ClimatePol","Transport equipment manufacturing",0.361906
"147",2031,"ClimatePol","Transport equipment manufacturing",0.220423
"148",2032,"ClimatePol","Transport equipment manufacturing",0.045004
"149",2033,"ClimatePol","Transport equipment manufacturing",-0.161496
"150",2034,"ClimatePol","Transport equipment manufacturing",-0.396021
"151",2035,"ClimatePol","Transport equipment manufacturing",-0.655447
"152",2036,"ClimatePol","Transport equipment manufacturing",-0.936662
"153",2037,"ClimatePol","Transport equipment manufacturing",-1.236625
"154",2038,"ClimatePol","Transport equipment manufacturing",-1.552399
"155",2039,"ClimatePol","Transport equipment manufacturing",-1.881187
"156",2040,"ClimatePol","Transport equipment manufacturing",-2.220347
"157",2015,"ClimatePol","Manufacture of other industrial products",0
"158",2016,"ClimatePol","Manufacture of other industrial products",0
"159",2017,"ClimatePol","Manufacture of other industrial products",0
"160",2018,"ClimatePol","Manufacture of other industrial products",0
"161",2019,"ClimatePol","Manufacture of other industrial products",0
"162",2020,"ClimatePol","Manufacture of other industrial products",0.060149
"163",2021,"ClimatePol","Manufacture of other industrial products",0.182427
"164",2022,"ClimatePol","Manufacture of other industrial products",0.348782
"165",2023,"ClimatePol","Manufacture of other industrial products",0.537114
"166",2024,"ClimatePol","Manufacture of other industrial products",0.7277
"167",2025,"ClimatePol","Manufacture of other industrial products",0.9054
"168",2026,"ClimatePol","Manufacture of other industrial products",1.059907
"169",2027,"ClimatePol","Manufacture of other industrial products",1.185118
"170",2028,"ClimatePol","Manufacture of other industrial products",1.278206
"171",2029,"ClimatePol","Manufacture of other industrial products",1.338698
"172",2030,"ClimatePol","Manufacture of other industrial products",1.367684
"173",2031,"ClimatePol","Manufacture of other industrial products",1.367215
"174",2032,"ClimatePol","Manufacture of other industrial products",1.339872
"175",2033,"ClimatePol","Manufacture of other industrial products",1.28848
"176",2034,"ClimatePol","Manufacture of other industrial products",1.215925
"177",2035,"ClimatePol","Manufacture of other industrial products",1.125046
"178",2036,"ClimatePol","Manufacture of other industrial products",1.018567
"179",2037,"ClimatePol","Manufacture of other industrial products",0.89907
"180",2038,"ClimatePol","Manufacture of other industrial products",0.768968
"181",2039,"ClimatePol","Manufacture of other industrial products",0.6305
"182",2040,"ClimatePol","Manufacture of other industrial products",0.485723
"183",2015,"ClimatePol","Construction",0
"184",2016,"ClimatePol","Construction",0
"185",2017,"ClimatePol","Construction",0
"186",2018,"ClimatePol","Construction",0
"187",2019,"ClimatePol","Construction",0
"188",2020,"ClimatePol","Construction",0.042805
"189",2021,"ClimatePol","Construction",0.130134
"190",2022,"ClimatePol","Construction",0.255455
"191",2023,"ClimatePol","Construction",0.413625
"192",2024,"ClimatePol","Construction",0.602073
"193",2025,"ClimatePol","Construction",0.820139
"194",2026,"ClimatePol","Construction",1.068421
"195",2027,"ClimatePol","Construction",1.348354
"196",2028,"ClimatePol","Construction",1.661891
"197",2029,"ClimatePol","Construction",2.011221
"198",2030,"ClimatePol","Construction",2.398508
"199",2031,"ClimatePol","Construction",2.825692
"200",2032,"ClimatePol","Construction",3.294349
"201",2033,"ClimatePol","Construction",3.805618
"202",2034,"ClimatePol","Construction",4.360187
"203",2035,"ClimatePol","Construction",4.958306
"204",2036,"ClimatePol","Construction",5.599822
"205",2037,"ClimatePol","Construction",6.284223
"206",2038,"ClimatePol","Construction",7.010672
"207",2039,"ClimatePol","Construction",7.778042
"208",2040,"ClimatePol","Construction",8.584941
"209",2015,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0
"210",2016,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0
"211",2017,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0
"212",2018,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0
"213",2019,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0
"214",2020,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0.04432
"215",2021,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0.138286
"216",2022,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0.273962
"217",2023,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0.439382
"218",2024,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0.622781
"219",2025,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",0.814622
"220",2026,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",1.008224
"221",2027,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",1.199526
"222",2028,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",1.386454
"223",2029,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",1.568234
"224",2030,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",1.744809
"225",2031,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",1.91644
"226",2032,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",2.083466
"227",2033,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",2.246191
"228",2034,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",2.404848
"229",2035,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",2.559607
"230",2036,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",2.710602
"231",2037,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",2.857959
"232",2038,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",3.001819
"233",2039,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",3.142349
"234",2040,"ClimatePol","Trade ; repair of motor vehicles and motorcycles",3.279747
"235",2015,"ClimatePol","Transport and storage",0
"236",2016,"ClimatePol","Transport and storage",0
"237",2017,"ClimatePol","Transport and storage",0
"238",2018,"ClimatePol","Transport and storage",0
"239",2019,"ClimatePol","Transport and storage",0
"240",2020,"ClimatePol","Transport and storage",0.073913
"241",2021,"ClimatePol","Transport and storage",0.225318
"242",2022,"ClimatePol","Transport and storage",0.436565
"243",2023,"ClimatePol","Transport and storage",0.686056
"244",2024,"ClimatePol","Transport and storage",0.954512
"245",2025,"ClimatePol","Transport and storage",1.22699
"246",2026,"ClimatePol","Transport and storage",1.492999
"247",2027,"ClimatePol","Transport and storage",1.745819
"248",2028,"ClimatePol","Transport and storage",1.981568
"249",2029,"ClimatePol","Transport and storage",2.198337
"250",2030,"ClimatePol","Transport and storage",2.395496
"251",2031,"ClimatePol","Transport and storage",2.573207
"252",2032,"ClimatePol","Transport and storage",2.7321
"253",2033,"ClimatePol","Transport and storage",2.873074
"254",2034,"ClimatePol","Transport and storage",2.997186
"255",2035,"ClimatePol","Transport and storage",3.105583
"256",2036,"ClimatePol","Transport and storage",3.199463
"257",2037,"ClimatePol","Transport and storage",3.280055
"258",2038,"ClimatePol","Transport and storage",3.348599
"259",2039,"ClimatePol","Transport and storage",3.406332
"260",2040,"ClimatePol","Transport and storage",3.454469
"261",2015,"ClimatePol","Accommodation and catering",0
"262",2016,"ClimatePol","Accommodation and catering",0
"263",2017,"ClimatePol","Accommodation and catering",0
"264",2018,"ClimatePol","Accommodation and catering",0
"265",2019,"ClimatePol","Accommodation and catering",0
"266",2020,"ClimatePol","Accommodation and catering",0.087678
"267",2021,"ClimatePol","Accommodation and catering",0.277267
"268",2022,"ClimatePol","Accommodation and catering",0.553378
"269",2023,"ClimatePol","Accommodation and catering",0.891597
"270",2024,"ClimatePol","Accommodation and catering",1.268814
"271",2025,"ClimatePol","Accommodation and catering",1.667411
"272",2026,"ClimatePol","Accommodation and catering",2.075828
"273",2027,"ClimatePol","Accommodation and catering",2.487419
"274",2028,"ClimatePol","Accommodation and catering",2.89885
"275",2029,"ClimatePol","Accommodation and catering",3.308669
"276",2030,"ClimatePol","Accommodation and catering",3.716282
"277",2031,"ClimatePol","Accommodation and catering",4.121323
"278",2032,"ClimatePol","Accommodation and catering",4.523343
"279",2033,"ClimatePol","Accommodation and catering",4.921696
"280",2034,"ClimatePol","Accommodation and catering",5.315555
"281",2035,"ClimatePol","Accommodation and catering",5.703977
"282",2036,"ClimatePol","Accommodation and catering",6.085985
"283",2037,"ClimatePol","Accommodation and catering",6.460651
"284",2038,"ClimatePol","Accommodation and catering",6.827159
"285",2039,"ClimatePol","Accommodation and catering",7.184841
"286",2040,"ClimatePol","Accommodation and catering",7.533201
"287",2015,"ClimatePol","Information and communication",0
"288",2016,"ClimatePol","Information and communication",0
"289",2017,"ClimatePol","Information and communication",0
"290",2018,"ClimatePol","Information and communication",0
"291",2019,"ClimatePol","Information and communication",0
"292",2020,"ClimatePol","Information and communication",0.042673
"293",2021,"ClimatePol","Information and communication",0.135094
"294",2022,"ClimatePol","Information and communication",0.269578
"295",2023,"ClimatePol","Information and communication",0.43304
"296",2024,"ClimatePol","Information and communication",0.612204
"297",2025,"ClimatePol","Information and communication",0.796334
"298",2026,"ClimatePol","Information and communication",0.978127
"299",2027,"ClimatePol","Information and communication",1.153426
"300",2028,"ClimatePol","Information and communication",1.320414
"301",2029,"ClimatePol","Information and communication",1.478737
"302",2030,"ClimatePol","Information and communication",1.628787
"303",2031,"ClimatePol","Information and communication",1.771221
"304",2032,"ClimatePol","Information and communication",1.906688
"305",2033,"ClimatePol","Information and communication",2.035715
"306",2034,"ClimatePol","Information and communication",2.158686
"307",2035,"ClimatePol","Information and communication",2.275875
"308",2036,"ClimatePol","Information and communication",2.387489
"309",2037,"ClimatePol","Information and communication",2.493719
"310",2038,"ClimatePol","Information and communication",2.594774
"311",2039,"ClimatePol","Information and communication",2.690904
"312",2040,"ClimatePol","Information and communication",2.782408
"313",2015,"ClimatePol","Financial and insurance activities",0
"314",2016,"ClimatePol","Financial and insurance activities",0
"315",2017,"ClimatePol","Financial and insurance activities",0
"316",2018,"ClimatePol","Financial and insurance activities",0
"317",2019,"ClimatePol","Financial and insurance activities",0
"318",2020,"ClimatePol","Financial and insurance activities",0.032516
"319",2021,"ClimatePol","Financial and insurance activities",0.101683
"320",2022,"ClimatePol","Financial and insurance activities",0.201586
"321",2023,"ClimatePol","Financial and insurance activities",0.322732
"322",2024,"ClimatePol","Financial and insurance activities",0.455525
"323",2025,"ClimatePol","Financial and insurance activities",0.592282
"324",2026,"ClimatePol","Financial and insurance activities",0.727955
"325",2027,"ClimatePol","Financial and insurance activities",0.859929
"326",2028,"ClimatePol","Financial and insurance activities",0.987368
"327",2029,"ClimatePol","Financial and insurance activities",1.110486
"328",2030,"ClimatePol","Financial and insurance activities",1.229946
"329",2031,"ClimatePol","Financial and insurance activities",1.346467
"330",2032,"ClimatePol","Financial and insurance activities",1.460615
"331",2033,"ClimatePol","Financial and insurance activities",1.572727
"332",2034,"ClimatePol","Financial and insurance activities",1.682924
"333",2035,"ClimatePol","Financial and insurance activities",1.791167
"334",2036,"ClimatePol","Financial and insurance activities",1.897321
"335",2037,"ClimatePol","Financial and insurance activities",2.00122
"336",2038,"ClimatePol","Financial and insurance activities",2.102713
"337",2039,"ClimatePol","Financial and insurance activities",2.201694
"338",2040,"ClimatePol","Financial and insurance activities",2.298123
"339",2015,"ClimatePol","Real estate activities",0
"340",2016,"ClimatePol","Real estate activities",0
"341",2017,"ClimatePol","Real estate activities",0
"342",2018,"ClimatePol","Real estate activities",0
"343",2019,"ClimatePol","Real estate activities",0
"344",2020,"ClimatePol","Real estate activities",0.06303
"345",2021,"ClimatePol","Real estate activities",0.197887
"346",2022,"ClimatePol","Real estate activities",0.394519
"347",2023,"ClimatePol","Real estate activities",0.636764
"348",2024,"ClimatePol","Real estate activities",0.908418
"349",2025,"ClimatePol","Real estate activities",1.196207
"350",2026,"ClimatePol","Real estate activities",1.490733
"351",2027,"ClimatePol","Real estate activities",1.786164
"352",2028,"ClimatePol","Real estate activities",2.079353
"353",2029,"ClimatePol","Real estate activities",2.368874
"354",2030,"ClimatePol","Real estate activities",2.65424
"355",2031,"ClimatePol","Real estate activities",2.935367
"356",2032,"ClimatePol","Real estate activities",3.212282
"357",2033,"ClimatePol","Real estate activities",3.484988
"358",2034,"ClimatePol","Real estate activities",3.753441
"359",2035,"ClimatePol","Real estate activities",4.01757
"360",2036,"ClimatePol","Real estate activities",4.277317
"361",2037,"ClimatePol","Real estate activities",4.532669
"362",2038,"ClimatePol","Real estate activities",4.783674
"363",2039,"ClimatePol","Real estate activities",5.030455
"364",2040,"ClimatePol","Real estate activities",5.273195
"365",2015,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0
"366",2016,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0
"367",2017,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0
"368",2018,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0
"369",2019,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0
"370",2020,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.015408
"371",2021,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.045184
"372",2022,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.085288
"373",2023,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.131338
"374",2024,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.179406
"375",2025,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.226547
"376",2026,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.271049
"377",2027,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.312325
"378",2028,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.350609
"379",2029,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.386582
"380",2030,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.421075
"381",2031,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.454861
"382",2032,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.488558
"383",2033,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.5226
"384",2034,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.557263
"385",2035,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.592703
"386",2036,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.629002
"387",2037,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.666209
"388",2038,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.704364
"389",2039,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.743517
"390",2040,"ClimatePol","Specialized, scientific and technical activities 
 and administrative and support service activities",0.783733
"391",2015,"ClimatePol","Public administration, education,
 human health and social work",0
"392",2016,"ClimatePol","Public administration, education,
 human health and social work",0
"393",2017,"ClimatePol","Public administration, education,
 human health and social work",0
"394",2018,"ClimatePol","Public administration, education,
 human health and social work",0
"395",2019,"ClimatePol","Public administration, education,
 human health and social work",0
"396",2020,"ClimatePol","Public administration, education,
 human health and social work",0.020244
"397",2021,"ClimatePol","Public administration, education,
 human health and social work",0.063855
"398",2022,"ClimatePol","Public administration, education,
 human health and social work",0.12681
"399",2023,"ClimatePol","Public administration, education,
 human health and social work",0.2029
"400",2024,"ClimatePol","Public administration, education,
 human health and social work",0.286288
"401",2025,"ClimatePol","Public administration, education,
 human health and social work",0.372541
"402",2026,"ClimatePol","Public administration, education,
 human health and social work",0.458761
"403",2027,"ClimatePol","Public administration, education,
 human health and social work",0.543303
"404",2028,"ClimatePol","Public administration, education,
 human health and social work",0.625389
"405",2029,"ClimatePol","Public administration, education,
 human health and social work",0.70476
"406",2030,"ClimatePol","Public administration, education,
 human health and social work",0.781422
"407",2031,"ClimatePol","Public administration, education,
 human health and social work",0.855489
"408",2032,"ClimatePol","Public administration, education,
 human health and social work",0.927099
"409",2033,"ClimatePol","Public administration, education,
 human health and social work",0.996368
"410",2034,"ClimatePol","Public administration, education,
 human health and social work",1.06339
"411",2035,"ClimatePol","Public administration, education,
 human health and social work",1.128234
"412",2036,"ClimatePol","Public administration, education,
 human health and social work",1.190959
"413",2037,"ClimatePol","Public administration, education,
 human health and social work",1.25162
"414",2038,"ClimatePol","Public administration, education,
 human health and social work",1.31028
"415",2039,"ClimatePol","Public administration, education,
 human health and social work",1.367011
"416",2040,"ClimatePol","Public administration, education,
 human health and social work",1.421898
"417",2015,"ClimatePol","Other service activities",0
"418",2016,"ClimatePol","Other service activities",0
"419",2017,"ClimatePol","Other service activities",0
"420",2018,"ClimatePol","Other service activities",0
"421",2019,"ClimatePol","Other service activities",0
"422",2020,"ClimatePol","Other service activities",0.005045
"423",2021,"ClimatePol","Other service activities",0.005308
"424",2022,"ClimatePol","Other service activities",-0.002652
"425",2023,"ClimatePol","Other service activities",-0.01773
"426",2024,"ClimatePol","Other service activities",-0.037424
"427",2025,"ClimatePol","Other service activities",-0.059318
"428",2026,"ClimatePol","Other service activities",-0.081476
"429",2027,"ClimatePol","Other service activities",-0.102446
